계약일,단지명,전용면적(㎡),거래금액(만원),시군구
2022-01-24,포항 아이파크,84.5134,"35,600",경상북도 포항남구 오천읍 용산리
2022-01-24,포항자이 애서턴,84.9409,"51,791",경상북도 포항북구 학잠동
2022-01-24,포항자이 애서턴,84.9146,"51,860",경상북도 포항북구 학잠동
2022-01-24,포항자이 애서턴,84.9253,"50,960",경상북도 포항북구 학잠동
2022-01-24,KTX포항역 삼구 트리니엔,84.9947,"32,790",경상북도 포항북구 흥해읍 이인리
2022-01-24,한화 포레나 포항,109.4477,"50,160",경상북도 포항북구 흥해읍 이인리
2022-01-24,한화 포레나 포항,84.8901,"37,080",경상북도 포항북구 흥해읍 이인리
2022-01-24,한화 포레나 포항,109.4477,"50,160",경상북도 포항북구 흥해읍 이인리
2022-01-24,한화 포레나 포항,109.4477,"50,160",경상북도 포항북구 흥해읍 이인리
2022-01-25,포항 아이파크,84.5134,"35,600",경상북도 포항남구 오천읍 용산리
2022-01-25,포항 아이파크,84.5134,"35,600",경상북도 포항남구 오천읍 용산리
2022-01-25,포항자이 애서턴,101.9744,"65,000",경상북도 포항북구 학잠동
2022-01-25,포항자이 애서턴,101.8942,"63,970",경상북도 포항북구 학잠동
2022-01-25,KTX포항역 삼구 트리니엔,84.9947,"33,490",경상북도 포항북구 흥해읍 이인리
2022-01-25,KTX포항역 삼구 트리니엔,84.9947,"33,490",경상북도 포항북구 흥해읍 이인리
2022-01-26,포항자이 애서턴,84.9409,"51,250",경상북도 포항북구 학잠동
2022-01-26,포항자이 애서턴,101.8942,"64,070",경상북도 포항북구 학잠동
2022-01-26,포항자이 애서턴,84.9409,"50,450",경상북도 포항북구 학잠동
2022-01-26,포항자이 애서턴,101.9744,"65,400",경상북도 포항북구 학잠동
2022-01-26,포항자이 애서턴,84.9253,"51,620",경상북도 포항북구 학잠동
2022-01-26,포항자이 애서턴,101.8942,"63,970",경상북도 포항북구 학잠동
2022-01-26,포항자이 애서턴,84.9253,"50,910",경상북도 포항북구 학잠동
2022-01-26,포항자이 애서턴,101.9744,"65,000",경상북도 포항북구 학잠동
2022-01-26,흥해 서희스타힐스 더 캐슬,84.9477,"27,680",경상북도 포항북구 흥해읍 옥성리
2022-01-26,한화 포레나 포항,84.5162,"35,400",경상북도 포항북구 흥해읍 이인리
2022-01-26,한화 포레나 포항,84.8901,"35,200",경상북도 포항북구 흥해읍 이인리
2022-01-27,포항 양학 신원아침도시 퀘렌시아,62.2954,"25,601",경상북도 포항북구 득량동
2022-01-27,포항자이 애서턴,101.8942,"63,120",경상북도 포항북구 학잠동
2022-01-27,포항자이 애서턴,84.9253,"50,860",경상북도 포항북구 학잠동
2022-01-27,포항자이 애서턴,84.9409,"51,350",경상북도 포항북구 학잠동
2022-01-27,포항자이 애서턴,84.9146,"51,200",경상북도 포항북구 학잠동
2022-01-27,포항자이 애서턴,84.9146,"51,960",경상북도 포항북구 학잠동
2022-01-27,포항자이 애서턴,84.9253,"51,620",경상북도 포항북구 학잠동
2022-01-27,KTX포항역 삼구 트리니엔,84.9947,"33,490",경상북도 포항북구 흥해읍 이인리
2022-01-27,힐스테이트 초곡,84.856,"36,900",경상북도 포항북구 흥해읍 초곡리
2022-01-28,포항자이 애서턴,101.9526,"67,400",경상북도 포항북구 학잠동
2022-01-28,포항자이 애서턴,84.9253,"51,040",경상북도 포항북구 학잠동
2022-01-28,포항자이 애서턴,84.9146,"51,960",경상북도 포항북구 학잠동
2022-01-28,포항자이 애서턴,84.9146,"51,300",경상북도 포항북구 학잠동
